,title,genre,gross,tickets_sold,budget,url,rating,agerating,releaseyear
83,Black and Blue,Action,"$22,012,729 ","2,403,136",12000000,https://www.imdb.com/title/tt7390646/?ref_=adv_li_tt,6.4,R,2019
84,Hellboy,Horror,"$21,903,748 ","2,391,238",50000000,https://www.imdb.com/title/tt2274648/?ref_=adv_li_tt,5.2,R,2019
85,Jojo Rabbit,Black Comedy,"$21,579,550 ","2,355,846",14000000,https://www.imdb.com/title/tt2584384/?ref_=adv_li_tt,7.9,PG-13,2019
87,Shaft,Comedy,"$21,360,215 ","2,331,901",30000000,https://www.imdb.com/title/tt4463894/?ref_=adv_li_tt,6.4,R,2019
88,The Peanut Butter Falcon,Adventure,"$20,457,158 ","2,233,314",6200000,https://www.imdb.com/title/tt4364194/?ref_=adv_li_tt,7.6,PG-13,2019
89,UglyDolls,Adventure,"$20,150,241 ","2,199,807",45000000,https://www.imdb.com/title/tt1946502/?ref_=adv_li_tt,5.0,PG,2019
90,Cats,Musical,"$19,970,095 ","2,180,141",100000000,https://www.imdb.com/title/tt5697572/?ref_=adv_li_tt,2.8,PG,2019
92,Unplanned,Drama,"$19,005,109 ","2,074,793",6000000,https://www.imdb.com/title/tt9024106/?ref_=adv_li_tt,5.5,R,2019
93,Richard Jewell,Drama,"$17,822,217 ","1,945,657",45000000,https://www.imdb.com/title/tt3513548/?ref_=adv_li_tt,7.5,R,2019
95,Charlie's Angels,Action,"$17,790,181 ","1,942,159",48000000,https://www.imdb.com/title/tt5033998/?ref_=adv_li_tt,4.9,PG-13,2019
97,The Farewell,Drama,"$17,700,478 ","1,932,366",3000000,https://www.imdb.com/title/tt8637428/?ref_=adv_li_tt,7.5,PG,2019
98,The Good Liar,Thriller/Suspense,"$16,973,279 ","1,852,978",10000000,https://www.imdb.com/title/tt5563334/?ref_=adv_li_tt,6.7,R,2019
100,The Kid Who Would Be King,Adventure,"$16,790,790 ","1,833,055",59000000,https://www.imdb.com/title/tt6811018/?ref_=adv_li_tt,6.1,PG,2019
101,Late Night,Comedy,"$15,500,045 ","1,692,144",4000000,https://www.imdb.com/title/tt6107548/?ref_=adv_li_tt,6.5,R,2019
102,Miss Bala,Action,"$14,998,027 ","1,637,339",15000000,https://www.imdb.com/title/tt5941692/?ref_=adv_li_tt,5.8,PG-13,2019
103,The Prodigy,Horror,"$14,856,291 ","1,621,865",6000000,https://www.imdb.com/title/tt4504044/?ref_=adv_li_tt,5.8,R,2019
104,Poms,Comedy,"$13,631,124 ","1,488,113",10000000,https://www.imdb.com/title/tt5125894/?ref_=adv_li_tt,6.1,PG-13,2019
105,The Kitchen,Drama,"$12,180,032 ","1,329,698",38000000,https://www.imdb.com/title/tt5822564/?ref_=adv_li_tt,5.6,R,2019
106,After,Drama,"$12,138,565 ","1,325,170",14000000,https://www.imdb.com/title/tt4126476/?ref_=adv_li_tt,5.3,PG-13,2019
