,title,genre,gross,tickets_sold,budget,url,rating,agerating,releaseyear
238,The Little Things,Thriller/Suspense,"$15,342,746 ","1,673,146",30000000,https://www.imdb.com/title/tt10016180/?ref_=adv_li_tt,6.3,R,2021
239,King Richard,Drama,"$14,730,278 ","1,606,355",50000000,https://www.imdb.com/title/tt9620288/?ref_=adv_li_tt,7.5,PG-13,2021
241,Malignant,Horror,"$13,391,791 ","1,460,392",40000000,https://www.imdb.com/title/tt3811906/?ref_=adv_li_tt,6.2,R,2021
242,Chaos Walking,Action,"$13,287,908 ","1,449,063",100000000,https://www.imdb.com/title/tt2076822/?ref_=adv_li_tt,5.7,PG-13,2021
243,The Last Duel,Drama,"$10,853,945 ","1,183,636",100000000,https://www.imdb.com/title/tt4244994/?ref_=adv_li_tt,7.4,R,2021
244,Last Night in Soho,Thriller/Suspense,"$10,127,625 ","1,104,430",43000000,https://www.imdb.com/title/tt9639470/?ref_=adv_li_tt,7.1,R,2021
245,The Many Saints of Newark,Drama,"$8,237,403 ","898,299",50000000,https://www.imdb.com/title/tt8110232/?ref_=adv_li_tt,6.3,R,2021
246,Nightmare Alley,Thriller/Suspense,"$7,580,143 ","826,624",60000000,https://www.imdb.com/title/tt7740496/?ref_=adv_li_tt,7.0,R,2021
248,Licorice Pizza,Drama,"$6,382,891 ","696,062",40000000,https://www.imdb.com/title/tt11271038/?ref_=adv_li_tt,7.2,R,2021
250,Judas and the Black Messiah,Drama,"$5,478,009 ","597,384",26000000,https://www.imdb.com/title/tt9784798/?ref_=adv_li_tt,7.4,R,2021
251,Zola,Drama,"$4,844,399 ","528,287",5000000,https://www.imdb.com/title/tt5439812/?ref_=adv_li_tt,6.5,R,2020
252,A Journal for Jordan,Drama,"$3,905,919 ","425,945",25000000,https://www.imdb.com/title/tt0995854/?ref_=adv_li_tt,5.8,PG-13,2021
254,Reminiscence,Thriller/Suspense,"$3,900,193 ","425,321",67972729,https://www.imdb.com/title/tt3272066/?ref_=adv_li_tt,5.9,PG-13,2021
255,Voyagers,Thriller/Suspense,"$3,149,935 ","343,504",29000000,https://www.imdb.com/title/tt9664108/?ref_=adv_li_tt,5.4,PG-13,2021
256,Minari,Drama,"$2,964,816 ","323,316",2000000,https://www.imdb.com/title/tt10633456/?ref_=adv_li_tt,7.4,PG-13,2020
257,Nomadland,Drama,"$2,180,000 ","237,732",5000000,https://www.imdb.com/title/tt9770150/?ref_=adv_li_tt,7.3,R,2020
258,The Father,Drama,"$2,120,992 ","231,296",6000000,https://www.imdb.com/title/tt10272386/?ref_=adv_li_tt,8.2,PG-13,2020
259,Our Friend,Drama,"$657,511 ","71,702",10000000,https://www.imdb.com/title/tt9608818/?ref_=adv_li_tt,7.3,R,2019
260,National Champions,Drama,"$475,488 ","51,852",9000000,https://www.imdb.com/title/tt14547524/?ref_=adv_li_tt,5.7,R,2021
261,A Mouthful of Air,Drama,"$269,435 ","29,382",2300000,https://www.imdb.com/title/tt10925852/?ref_=adv_li_tt,6.0,R,2021
262,Top Gun: Maverick,Action,"$716,657,763 ","78,152,427",170000000,https://www.imdb.com/title/tt1745960/?ref_=adv_li_tt,8.4,PG-13,2022
263,Jurassic World: Dominion,Action,"$376,009,080 ","41,004,261",165000000,https://www.imdb.com/title/tt8041270/?ref_=adv_li_tt,5.7,PG-13,2022
264,Minions: The Rise of Gru,Comedy,"$369,500,210 ","40,294,461",80000000,https://www.imdb.com/title/tt5113044/?ref_=adv_li_tt,6.6,PG,2022
265,The Batman,Action,"$369,345,583 ","40,277,599",200000000,https://www.imdb.com/title/tt1877830/?ref_=adv_li_tt,7.9,PG-13,2022
266,Thor: Love and Thunder,Action,"$343,256,830 ","37,432,587",250000000,https://www.imdb.com/title/tt10648342/?ref_=adv_li_tt,6.3,PG-13,2022
267,Sonic the Hedgehog 2,Adventure,"$190,872,904 ","20,814,929",90000000,https://www.imdb.com/title/tt12412888/?ref_=adv_li_tt,6.5,PG,2022
268,Black Adam,Action,"$163,206,725 ","17,797,898",200000000,https://www.imdb.com/title/tt6443346/?ref_=adv_li_tt,6.9,PG-13,2022
269,Elvis,Drama,"$151,040,048 ","16,471,106",85000000,https://www.imdb.com/title/tt3704428/?ref_=adv_li_tt,7.4,PG-13,2022
270,Uncharted,Adventure,"$148,648,820 ","16,210,340",120000000,https://www.imdb.com/title/tt1464335/?ref_=adv_li_tt,6.3,PG-13,2022
271,Nope,Horror,"$123,277,080 ","13,443,520",68000000,https://www.imdb.com/title/tt10954984/?ref_=adv_li_tt,6.9,R,2022
272,Lightyear,Adventure,"$118,307,188 ","12,901,547",200000000,https://www.imdb.com/title/tt10298810/?ref_=adv_li_tt,6.0,PG,2022
273,Smile,Horror,"$105,497,888 ","11,504,676",17000000,https://www.imdb.com/title/tt15474916/?ref_=adv_li_tt,6.7,R,2022
274,The Lost City,Adventure,"$105,344,029 ","11,487,898",74000000,https://www.imdb.com/title/tt13320622/?ref_=adv_li_tt,6.1,PG-13,2022
275,Bullet Train,Thriller/Suspense,"$103,259,633 ","11,260,592",85900000,https://www.imdb.com/title/tt12593682/?ref_=adv_li_tt,7.3,R,2022
276,Where the Crawdads Sing,Drama,"$90,038,355 ","9,818,795",24000000,https://www.imdb.com/title/tt9411972/?ref_=adv_li_tt,7.1,PG-13,2022
277,Scream,Horror,"$81,641,405 ","8,903,097",24000000,https://www.imdb.com/title/tt11245972/?ref_=adv_li_tt,6.3,R,2022
278,Morbius,Action,"$73,793,072 ","8,047,227",75000000,https://www.imdb.com/title/tt5108870/?ref_=adv_li_tt,5.2,PG-13,2022
279,The Woman King,Action,"$67,030,563 ","7,309,766",50000000,https://www.imdb.com/title/tt8093700/?ref_=adv_li_tt,6.7,PG-13,2022
280,Ticket to Paradise,Romantic Comedy,"$65,215,565 ","7,111,839",60000000,https://www.imdb.com/title/tt14109724/?ref_=adv_li_tt,6.2,PG-13,2022
281,Halloween Ends,Horror,"$64,079,860 ","6,987,989",20000000,https://www.imdb.com/title/tt10665342/?ref_=adv_li_tt,5.0,R,2022
282,Death on the Nile,Drama,"$45,630,104 ","4,976,020",90000000,https://www.imdb.com/title/tt7657566/?ref_=adv_li_tt,6.3,PG-13,2022
283,"Lyle, Lyle, Crocodile",Musical,"$45,287,892 ","4,938,701",50000000,https://www.imdb.com/title/tt14668630/?ref_=adv_li_tt,6.3,PG,2022
284,Barbarian,Horror,"$40,842,944 ","4,453,974",4500000,https://www.imdb.com/title/tt15791034/?ref_=adv_li_tt,7.1,R,2022
285,Beast,Thriller/Suspense,"$31,846,530 ","3,472,904",36000000,https://www.imdb.com/title/tt13223398/?ref_=adv_li_tt,5.6,R,2022
287,Moonfall,Action,"$19,060,660 ","2,078,588",150000000,https://www.imdb.com/title/tt5834426/?ref_=adv_li_tt,5.1,PG-13,2022
288,Amsterdam,Comedy,"$14,947,969 ","1,630,094",80000000,https://www.imdb.com/title/tt10304142/?ref_=adv_li_tt,6.1,R,2022
289,The 355,Thriller/Suspense,"$14,570,455 ","1,588,926",75000000,https://www.imdb.com/title/tt8356942/?ref_=adv_li_tt,5.5,PG-13,2022
290,Mrs. Harris Goes to Paris,Drama,"$10,433,915 ","1,137,831",13000000,https://www.imdb.com/title/tt5151570/?ref_=adv_li_tt,7.1,PG,2022
291,Blacklight,Action,"$9,591,094 ","1,045,920",29000000,https://www.imdb.com/title/tt14060094/?ref_=adv_li_tt,4.8,PG-13,2022
292,Armageddon Time,Drama,"$1,860,050 ","202,840",15000000,https://www.imdb.com/title/tt10343028/?ref_=adv_li_tt,7.0,R,2022
293,The King's Daughter,Adventure,"$1,747,263 ","190,541",40500000,https://www.imdb.com/title/tt2328678/?ref_=adv_li_tt,5.1,PG,2022
