releaseDate,title,budget
2/20/20,Brahms: The Boy II,10000000
4/5/19,The Best of Enemies,10000000
2/13/20,Emma.,10000000
10/18/19,Jay and Silent Bob Reboot,10000000
8/9/19,Brian Banks,10000000
1/22/21,Our Friend,10000000
3/19/19,Triple Threat,10000000
8/13/21,CODA,10000000
10/27/21,Passing,10000000
8/21/20,Words on Bathroom Walls,9300000
1/2/19,Escape Room,9000000
4/17/19,The Curse of La Llorona,9000000
2/13/19,Happy Death Day 2U,9000000
7/3/19,Midsommar,9000000
10/29/20,Come Play,9000000
5/17/19,The Sun is Also a Star,9000000
12/10/21,National Champions,9000000
5/1/19,The Intruder,8000000
7/31/20,Cut Throat City,8000000
5/3/19,El Chicano,8000000
1/10/20,Seberg,8000000
11/8/19,The Report,8000000
6/21/19,Burn Your Maps,8000000
2/26/20,The Invisible Man,7000000
3/13/19,Five Feet Apart,7000000
2/12/20,Fantasy Island,7000000
5/9/19,BrightBurn,7000000
3/8/19,The Kid,7000000
12/30/21,Chempion mira,7000000
1/29/21,Palmer,6713933
10/25/19,Countdown,6500000
4/15/22,Operation Mincemeat,6300000
8/9/19,The Peanut Butter Falcon,6200000
8/21/19,Ready or Not,6000000
5/24/19,Booksmart,6000000
3/29/19,Unplanned,6000000
2/8/19,The Prodigy,6000000
11/12/20,Freaky,6000000
12/25/20,The Father,6000000
10/9/20,Druk,5700000
8/16/19,Portrait de la jeune fille en feu,5400000
1/31/20,Sound of Metal,5400000
3/15/19,Rebelles,5200000
5/29/19,MA,5000000
8/22/19,Overcomer,5000000
1/30/20,Gretel & Hansel,5000000
12/13/19,Black Christmas,5000000
10/11/19,Jexi,5000000
8/30/19,Don't Let Go,5000000
6/30/21,Zola,5000000
1/29/21,Nomadland,5000000
3/21/19,The Beach Bum,5000000
7/10/20,Palm Springs,5000000
3/4/22,A Day to Die,5000000
12/6/19,Grand Isle,5000000
7/18/19,7500,5000000
9/8/22,Barbarian,4500000
11/8/19,J'ai perdu mon corps,4500000
9/1/20,Blood Quantum,4500000
6/7/19,Late Night,4000000
10/18/19,The Lighthouse,4000000
1/3/20,Patients of a Saint,4000000
11/8/19,Crown Vic,3600000
11/7/19,Honey Boy,3500000
6/11/21,The House Next Door: Meet the Blacks 2,3500000
7/12/19,The Farewell,3000000
2/21/20,Impractical Jokers: The Movie,3000000
6/7/19,The Last Black Man in San Francisco,3000000
7/29/20,The Climb,3000000
9/27/19,3 From Hell,3000000
2/14/20,Deux,2750000
4/12/19,Her Smell,2500000
11/13/20,Echo Boomers,2500000
5/9/20,Not Safe For Work,2500000
2/5/21,Malcolm & Marie,2500000
5/14/21,Profile,2300000
10/29/21,A Mouthful of Air,2300000
12/11/20,Minari,2000000
8/23/19,Monos,2000000
2/8/19,High Flying Bird,2000000
1/21/22,Donkeyhead,2000000
1/31/20,The Assistant,1780000
4/23/19,Living Dark: The Story of Ted the Caver,1750000
1/10/19,Braid,1660000
2/22/19,Run the Race,1500000
10/11/19,Corpus Christi,1300000
12/6/19,The Islands,1200000
6/24/20,Summerland,1100000
5/28/21,Bo Gia,1000000
6/1/21,Spare Parts,1000000
1/4/19,Rust Creek,750000
1/12/21,Lena and Snowball,400000
1/10/20,El Principe,400000
2/22/22,Dunk or Die,350000
