title,url,rating,agerating,oldreleaseyear,releaseyear
Tár,https://www.imdb.com/title/tt14444726/?ref_=adv_li_tt,8,R,-2022,2022
The Northman,https://www.imdb.com/title/tt11138512/?ref_=adv_li_tt,7.1,R,-2022,2022
Fall,https://www.imdb.com/title/tt15325794/?ref_=adv_li_tt,6.4,PG-13,2022,2022
Bones and All,https://www.imdb.com/title/tt10168670/?ref_=adv_li_tt,7.1,R,-2022,2022
Luckiest Girl Alive,https://www.imdb.com/title/tt4595186/?ref_=adv_li_tt,6.4,R,-2022,2022
Medieval,https://www.imdb.com/title/tt8883486/?ref_=adv_li_tt,5.9,R,-2022,2022
Halloween Ends,https://www.imdb.com/title/tt10665342/?ref_=adv_li_tt,5,R,-2022,2022
Wendell & Wild,https://www.imdb.com/title/tt5181830/?ref_=adv_li_tt,6.5,PG-13,-2022,2022
Prey for the Devil,https://www.imdb.com/title/tt9271672/?ref_=adv_li_tt,5.2,PG-13,-2022,2022
Armageddon Time,https://www.imdb.com/title/tt10343028/?ref_=adv_li_tt,7,R,-2022,2022
Elvis,https://www.imdb.com/title/tt3704428/?ref_=adv_li_tt,7.4,PG-13,-2022,2022
Blonde,https://www.imdb.com/title/tt1655389/?ref_=adv_li_tt,5.5,NC-17,-2022,2022
Knives Out,https://www.imdb.com/title/tt8946378/?ref_=adv_li_tt,7.9,PG-13,-2019,2019
Morbius,https://www.imdb.com/title/tt5108870/?ref_=adv_li_tt,5.2,PG-13,-2022,2022
Midsommar,https://www.imdb.com/title/tt8772262/?ref_=adv_li_tt,7.1,R,-2019,2019
Guillermo del Toro's Pinocchio,https://www.imdb.com/title/tt1488589/?ref_=adv_li_tt,7.9,PG,2022,2022
Hellraiser,https://www.imdb.com/title/tt0887261/?ref_=adv_li_tt,6,R,-2022,2022
The Unbearable Weight of Massive Talent,https://www.imdb.com/title/tt11291274/?ref_=adv_li_tt,7,R,-2022,2022
The Lost City,https://www.imdb.com/title/tt13320622/?ref_=adv_li_tt,6.1,PG-13,-2022,2022
The Black Phone,https://www.imdb.com/title/tt7144666/?ref_=adv_li_tt,6.9,R,-2021,2021
The Gray Man,https://www.imdb.com/title/tt1649418/?ref_=adv_li_tt,6.5,PG-13,-2022,2022
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=adv_li_tt,8.3,PG-13,-2021,2021
Watcher,https://www.imdb.com/title/tt12004038/?ref_=adv_li_tt,6.3,R,2022,2022
Crimes of the Future,https://www.imdb.com/title/tt14549466/?ref_=adv_li_tt,5.9,R,-2022,2022
Uncharted,https://www.imdb.com/title/tt1464335/?ref_=adv_li_tt,6.3,PG-13,-2022,2022
"Lyle, Lyle, Crocodile",https://www.imdb.com/title/tt14668630/?ref_=adv_li_tt,6.3,PG,-2022,2022
Dune,https://www.imdb.com/title/tt1160419/?ref_=adv_li_tt,8,PG-13,-2021,2021
Devotion,https://www.imdb.com/title/tt7693316/?ref_=adv_li_tt,6.1,PG-13,2022,2022
Jurassic World: Dominion,https://www.imdb.com/title/tt8041270/?ref_=adv_li_tt,5.7,PG-13,-2022,2022
Aftersun,https://www.imdb.com/title/tt19770238/?ref_=adv_li_tt,7.7,R,2022,2022
Chevalier,https://www.imdb.com/title/tt12758486/?ref_=adv_li_tt,7.1,PG-13,-2022,2022
The System,https://www.imdb.com/title/tt14037272/?ref_=adv_li_tt,3.7,R,-2022,2022
Once Upon a Time in Hollywood,https://www.imdb.com/title/tt7131622/?ref_=adv_li_tt,7.6,R,-2019,2019
Avengers: Endgame,https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt,8.4,PG-13,-2019,2019
Prey,https://www.imdb.com/title/tt11866324/?ref_=adv_li_tt,7.2,R,2022,2022
Bros,https://www.imdb.com/title/tt9731598/?ref_=adv_li_tt,6.4,R,2022,2022
Run Sweetheart Run,https://www.imdb.com/title/tt8656686/?ref_=adv_li_tt,5.4,R,-2020,2020
Till,https://www.imdb.com/title/tt4960748/?ref_=adv_li_tt,7.6,PG-13,-2022,2022
"Confess, Fletch",https://www.imdb.com/title/tt12718300/?ref_=adv_li_tt,6.5,R,-2022,2022
Bodies Bodies Bodies,https://www.imdb.com/title/tt8110652/?ref_=adv_li_tt,6.3,R,-2022,2022
Mrs. Harris Goes to Paris,https://www.imdb.com/title/tt5151570/?ref_=adv_li_tt,7.1,PG,-2022,2022
Hocus Pocus 2,https://www.imdb.com/title/tt11909878/?ref_=adv_li_tt,6,PG,-2022,2022
Blacklight,https://www.imdb.com/title/tt14060094/?ref_=adv_li_tt,4.8,PG-13,-2022,2022
Sing 2,https://www.imdb.com/title/tt6467266/?ref_=adv_li_tt,7.4,PG,-2021,2021
Doctor Strange in the Multiverse of Madness,https://www.imdb.com/title/tt9419884/?ref_=adv_li_tt,6.9,PG-13,-2022,2022
DC League of Super-Pets,https://www.imdb.com/title/tt8912936/?ref_=adv_li_tt,7.3,PG,-2022,2022
The Gentlemen,https://www.imdb.com/title/tt8367814/?ref_=adv_li_tt,7.8,R,-2019,2019
Living,https://www.imdb.com/title/tt9051908/?ref_=adv_li_tt,7.6,PG-13,-2022,2022
Eternals,https://www.imdb.com/title/tt9032400/?ref_=adv_li_tt,6.3,PG-13,-2021,2021
The Wonder,https://www.imdb.com/title/tt9288822/?ref_=adv_li_tt,6.7,R,2022,2022
Death on the Nile,https://www.imdb.com/title/tt7657566/?ref_=adv_li_tt,6.3,PG-13,-2022,2022
No Time to Die,https://www.imdb.com/title/tt2382320/?ref_=adv_li_tt,7.3,PG-13,-2021,2021
Licorice Pizza,https://www.imdb.com/title/tt11271038/?ref_=adv_li_tt,7.2,R,-2021,2021
Scream,https://www.imdb.com/title/tt11245972/?ref_=adv_li_tt,6.3,R,2022,2022
